;;PLAN F   UENTE;PLAN DESTINO
SPL_ANZOLA;78;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;79;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;80;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;81;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;82;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;83;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;84;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;85;ABA_N8_4096_BS_JV;ABA_N9_4096_BS_JV
SPL_ANZOLA;86;ABA_N9_4096_BS_JV;ABA_N10_4096_BS_JV
SPL_ANZOLA;87;ABA_N10_4096_BS_JV;ABA_N11_4096_BS_JV
SPL_ANZOLA;88;ABA_N11_4096_BS_JV;ABA_N12_4096_BS_JV
SPL_ANZOLA;89;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;90;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;91;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;92;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;93;ABA_N8_8192_BS;ABA_N9_8192_BS
SPL_ANZOLA;94;ABA_N9_8192_BS;ABA_N10_8192_BS
SPL_ANZOLA;95;ABA_N10_8192_BS;ABA_N11_8192_BS
SPL_ANZOLA;96;ABA_N11_8192_BS;ABA_N12_8192_BS
SPL_ANZOLA;97;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;98;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;99;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;100;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;101;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;102;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;103;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;104;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;105;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;106;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;107;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;108;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;109;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;110;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;111;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;112;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;113;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;114;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;115;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;116;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;117;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;118;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;119;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;120;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;121;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;122;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;123;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;124;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;125;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;126;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;127;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;128;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;129;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;130;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;131;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;132;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;133;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;134;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;135;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;136;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;137;ABA_N8_10240_BS;ABA_N9_10240_BS
SPL_ANZOLA;138;ABA_N9_10240_BS;ABA_N10_10240_BS
SPL_ANZOLA;139;ABA_N10_10240_BS;ABA_N11_10240_BS
SPL_ANZOLA;140;ABA_N11_10240_BS;ABA_N12_10240_BS
SPL_ANZOLA;141;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;142;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
SPL_ANZOLA;143;ABA_N10_1536_BS_JV;ABA_N11_1536_BS_JV
SPL_ANZOLA;144;ABA_N11_1536_BS_JV;ABA_N12_1536_BS_JV
SPL_ANZOLA;145;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;146;ABA_N9_1536_BS;ABA_N10_1536_BS
